date,trial_num,trial_date,matings,female_age,treatment,vial,trial_start,mating_start,mating_end,male_type,mating_latency,trial_duration,courtship_bouts,mated?,notes,
2023-11-27,3,nov_27,some,18,high,5,9:02:14 AM,10:32:03 AM,10:53:29 AM,normal,5389,6675,3,y,,
2023-11-27,3,nov_27,some,18,low,6,9:02:36 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,medium,6,9:03:16 AM,NA,NA,glued,,10800,0,,,
2023-11-27,3,nov_27,some,18,high,6,9:02:49 AM,,,normal,,10800,5,,,
2023-11-27,3,nov_27,some,18,low,7,9:04:06 AM,NA,NA,glued,,10800,2,,,
2023-11-27,3,nov_27,some,18,medium,7,9:04:06 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,high,7,9:04:18 AM,,,normal,,10800,4,,,
2023-11-27,3,nov_27,some,18,low,8,9:04:43 AM,NA,NA,glued,,10800,1,,,
2023-11-27,3,nov_27,some,18,medium,8,9:05:39 AM,NA,NA,glued,,10800,2,,,
2023-11-27,3,nov_27,some,18,high,8,9:06:15 AM,9:26:00 AM,9:37:39 AM,normal,1185,1884,1,y,,
2023-11-27,3,nov_27,some,18,low,9,9:07:09 AM,NA,NA,glued,,10800,0,,,
2023-11-27,3,nov_27,some,18,medium,9,9:07:17 AM,NA,NA,glued,,10800,1,,,
2023-11-27,3,nov_27,some,18,high,9,9:07:28 AM,9:36:09 AM,9:49:37 AM,normal,1721,2529,0,y,,
2023-11-27,3,nov_27,some,18,low,10,9:07:44 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,medium,10,9:07:44 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,high,10,9:07:51 AM,,,normal,,10800,1,,,
2023-11-27,3,nov_27,some,18,low,11,9:08:18 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,medium,11,9:08:26 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,high,11,9:08:38 AM,,,normal,,10800,3,,,
2023-11-27,3,nov_27,some,18,low,12,9:09:03 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,medium,12,9:09:13 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,high,12,9:09:28 AM,10:33:30 AM,10:50:35 AM,normal,5042,6067,5,y,,
2023-11-27,3,nov_27,some,18,low,13,9:09:45 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,medium,13,9:09:57 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,high,13,9:10:17 AM,,,normal,,10800,5,,,
2023-11-27,3,nov_27,some,18,low,14,9:10:26 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,medium,14,9:10:40 AM,NA,NA,glued,,10800,3,,,
2023-11-27,3,nov_27,some,18,high,14,9:10:52 AM,,,normal,,10800,2,,,
